Price,Close,High,Low,Open,Volume
Ticker,BATS.L,BATS.L,BATS.L,BATS.L,BATS.L
Date,,,,,
2020-01-02,2193.15625,2203.567864663093,2155.540093797856,2162.928981623277,2320801
2020-01-03,2251.59521484375,2259.3199597634107,2184.7298595536863,2188.4538215873918,5176894
2020-01-06,2250.251953125,2250.251953125,2229.7645845965485,2239.5044811100747,4227582
2020-01-07,2287.868408203125,2299.0914625889823,2248.2370998989604,2256.9694220676747,2965723
2020-01-08,2330.522705078125,2352.3535129510287,2284.1742206710373,2293.9141195681786,4513672
2020-01-09,2323.469482421875,2344.2927128223023,2323.469482421875,2337.2396831705446,4757072
2020-01-10,2338.9189453125,2351.345711679037,2327.4997545973038,2343.28510646831,2611946
2020-01-13,2347.6513671875,2351.345811399097,2327.499853306062,2345.6362157993563,3094591
2020-01-14,2339.590576171875,2354.7042103848717,2321.454215116279,2347.98703962354,3998616
2020-01-15,2355.711669921875,2355.711669921875,2321.789959248634,2328.171271157462,3515782
2020-01-16,2326.156005859375,2353.817266415748,2315.072675193282,2343.2847896160642,3774837
2020-01-17,2328.507568359375,2338.5833259031197,2313.72979062855,2329.851002698541,4796094
2020-01-20,2298.280029296875,2327.835581332258,2287.86841437532,2324.141137327835,6309877
2020-01-21,2292.570556640625,2293.2422737682664,2253.6109632374146,2287.5326781833132,3880522
2020-01-22,2275.77734375,2308.3556203650755,2262.007144355999,2299.623298798148,8701900
2020-01-23,2280.4794921875,2307.3481754533323,2269.0603017995213,2293.5779752795934,3337941
2020-01-24,2292.234375,2300.9666964285716,2279.80760989011,2289.8833653846154,2955332
2020-01-27,2258.648681640625,2277.120901341775,2234.80272529914,2275.4416086416704,2841657
2020-01-28,2267.044921875,2277.1206770833337,2252.2671475694447,2263.014619791667,5430189
2020-01-29,2278.128662109375,2282.4948234844924,2257.977148070371,2262.6791680128053,5822315
2020-01-30,2249.916259765625,2289.5475657295515,2237.4894943362583,2250.587976815861,2730225
2020-01-31,2255.2900390625,2262.343068224125,2239.50468808172,2248.572868432381,4291250
2020-02-03,2277.79296875,2289.212160867001,2241.856099440615,2259.6566047994693,2423187
2020-02-04,2314.065185546875,2315.7444781343547,2276.113173069836,2292.2343819096404,3832801
2020-02-05,2316.08056640625,2316.08056640625,2274.7699646562546,2295.5931948066586,3391709
2020-02-06,2338.5830078125,2348.6587639857553,2298.951700197697,2313.729475918471,7316817
2020-02-07,2313.393798828125,2345.972079676895,2288.5402649847333,2326.4922828807235,2511790
2020-02-10,2317.423583984375,2317.423583984375,2292.9059141828016,2315.7442915322126,2519993
2020-02-11,2323.469482421875,2336.232107506008,2315.408877105581,2323.1336238670297,2625024
2020-02-12,2287.868408203125,2345.9719364795696,2283.502247118768,2337.2396143108554,2720626
2020-02-13,2271.4111328125,2330.858089859345,2244.2065931469947,2282.1586052729463,4662645
2020-02-14,2248.237060546875,2278.4643290633403,2243.870899538941,2265.7017045786106,3391546
2020-02-17,2237.8251953125,2256.969129896443,2232.78731779041,2254.6181203861343,1849248
2020-02-18,2222.0400390625,2252.939023886223,2221.368322001115,2227.749634084275,1915077
2020-02-19,2251.59521484375,2255.6255165409643,2219.688659740803,2229.764413983839,1886614
2020-02-20,2245.885986328125,2264.694063976454,2228.7572013269687,2260.327903093806,3367732
2020-02-21,2251.931396484375,2255.6258402369967,2219.017261233746,2236.4819044279575,3508947
2020-02-24,2174.01220703125,2270.5379131945283,2168.638470693771,2233.1233067435164,3884621
2020-02-25,2146.47216796875,2192.4847930683773,2146.47216796875,2178.3787328188564,3465725
2020-02-26,2162.59326171875,2163.264978836849,2089.7119544050415,2129.3432643728647,3810308
2020-02-27,2124.30517578125,2221.704148267663,2106.1688153872283,2179.721832540761,5501416
2020-02-28,2057.133056640625,2124.304748286033,2015.1507493622448,2078.2921395089284,9159533
2020-03-02,2015.4869384765625,2108.855605181526,1990.9692670036766,2105.832878561581,7800120
2020-03-03,2081.987060546875,2115.572914080459,2044.0350460539253,2069.560294739449,8266860
2020-03-04,2152.181396484375,2152.181396484375,2076.6132294729855,2094.749589555719,4710996
2020-03-05,2179.3857421875,2194.835232731594,2142.7771667677994,2193.491798771238,5668964
2020-03-06,2086.353271484375,2167.646454365002,2076.9492322696997,2158.8987168547264,8317360
