Price,Close,High,Low,Open,Volume
Ticker,REL.L,REL.L,REL.L,REL.L,REL.L
Date,,,,,
2020-01-02,1704.0885009765625,1712.5955113597877,1692.8950662617926,1706.3271879195165,2979428
2020-01-03,1710.35693359375,1713.0433580967767,1686.6268504836796,1695.5815988271024,2274680
2020-01-06,1700.0587158203125,1705.879301363021,1679.4627977461134,1699.1632411214343,3187332
2020-01-07,1695.1337890625,1708.5659110043582,1684.8358289070754,1708.5659110043582,2617906
2020-01-08,1701.402099609375,1703.1930491879111,1683.9403412186473,1685.2835534025494,2973038
2020-01-09,1727.370849609375,1735.8778600143978,1705.879454901949,1705.879454901949,8977624
2020-01-10,1730.0572509765625,1740.802948187597,1716.1773920789763,1727.3708266738038,2939223
2020-01-13,1743.04150390625,1750.6530388578055,1716.8488689258966,1739.9073424556093,3268657
2020-01-14,1768.11474609375,1773.4875941446808,1739.0118191512092,1753.7871512912684,4341095
2020-01-15,1791.8450927734375,1791.8450927734375,1768.5627477398996,1771.2491721668464,4485277
2020-01-16,1781.99462890625,1788.2629517214982,1775.2785687470557,1781.0991542183576,3240527
2020-01-17,1794.5313720703125,1801.6951699628087,1780.20377628532,1786.9198368095351,3827980
2020-01-20,1786.4720458984375,1792.7403688665022,1777.5172988012023,1791.8448941567788,2069758
2020-01-21,1787.815185546875,1787.815185546875,1766.7715307207536,1786.471973536697,2716955
2020-01-22,1795.427001953125,1805.2772249064838,1787.8154660346206,1799.9043760228335,4382908
2020-01-23,1791.8450927734375,1799.9043660542775,1782.7784103324925,1795.4269920093664,3099724
2020-01-24,1835.723388671875,1842.3784543724469,1800.7998705459222,1804.3817698408918,3655945
2020-01-27,1808.859130859375,1824.977677570003,1794.531533783261,1814.2319797629177,3696311
2020-01-28,1832.1414794921875,1837.5143284056542,1811.5455586572314,1815.1274579328758,2722167
2020-01-29,1818.709228515625,1840.200622648749,1812.4409052267972,1832.1413498488275,2917410
2020-01-30,1818.709228515625,1828.5594508266402,1805.2771071824225,1810.6499557157035,3532620
2020-01-31,1802.5908203125,1824.9776909075385,1797.2179713696908,1818.7093671409277,3492221
2020-02-03,1806.172607421875,1816.0228298718703,1794.5314354355169,1806.172607421875,5064832
2020-02-04,1843.7825927734375,1848.2599667238344,1814.2319247008181,1816.0228742809768,3211405
2020-02-05,1861.6922607421875,1870.6470094711062,1834.8280145554315,1834.8280145554315,2864627
2020-02-06,1876.0196533203125,1880.4970271945851,1859.0056325980756,1878.7060776448761,3001718
