Price,Close,High,Low,Open,Volume
Ticker,RIO.L,RIO.L,RIO.L,RIO.L,RIO.L
Date,,,,,
2020-01-02,3336.687255859375,3354.0101655053923,3324.5243618525974,3331.1586676744764,1333330
2020-01-03,3320.100830078125,3330.420859301281,3277.3464232964793,3309.780800854969,1654325
2020-01-06,3265.552001953125,3303.883537867699,3262.603422267389,3300.1978132605286,3030142
2020-01-07,3272.923828125,3289.8781632706923,3242.33231036212,3282.138140704181,1751025
2020-01-08,3317.152587890625,3319.364022949219,3248.966673583984,3272.1867416992186,2021798
2020-01-09,3281.032958984375,3343.69029475469,3281.032958984375,3343.69029475469,4425431
2020-01-10,3308.30712890625,3328.5786186667046,3268.132721926439,3300.9356780842663,2754703
2020-01-13,3357.6953125,3362.8553272502745,3270.1593479864164,3325.629506551866,1783742
2020-01-14,3350.324462890625,3384.0621686112104,3344.42730211986,3364.3302197211906,2101291
2020-01-15,3334.10693359375,3376.861344858052,3309.0440028526077,3351.061269095111,2074884
2020-01-16,3336.687255859375,3358.801608598971,3317.5214834850585,3333.0015304027756,2374333
2020-01-17,3428.46142578125,3457.947226045978,3371.7012602716486,3375.3869853047395,3445808
2020-01-20,3447.627197265625,3463.844387417398,3422.195694527617,3422.195694527617,2266666
2020-01-21,3397.133056640625,3412.613103117668,3337.424305943459,3409.6645228363263,2739455
2020-01-22,3393.447265625,3433.2530986528595,3391.6044029848217,3407.0844491623225,2435820
2020-01-23,3262.60400390625,3376.124342044877,3258.5497061155847,3372.0700442542116,3283163
2020-01-24,3271.818115234375,3329.6839983133204,3264.446665160624,3302.7782055441294,2112324
2020-01-27,3107.8037109375,3169.7238987265773,3100.8008325565925,3139.8695224711296,5000205
2020-01-28,3132.866455078125,3156.8236691463694,3079.4234390797333,3112.226393727022,3571598
2020-01-29,3125.86376953125,3181.5182241001944,3124.758051890807,3160.1410163849705,2471200
2020-01-30,3071.31494140625,3116.6493633182827,3047.357726574688,3063.574918152976,2804880
2020-01-31,3010.500732421875,3089.37526189522,2994.6521120136795,3085.6895362188957,2589665
2020-02-03,3010.131591796875,3032.24594168151,2969.5886170083777,2994.2829743795533,2238293
2020-02-04,3100.800537109375,3113.7005750029716,3063.9432859848134,3066.5232935635327,2799476
2020-02-05,3149.820556640625,3186.3092338120996,3064.6803099071844,3077.2117747943576,3757277
2020-02-06,3162.72119140625,3200.6841657349814,3104.855298497407,3196.9984400719977,3199357
2020-02-07,3086.42626953125,3174.5151014416833,3075.3690939776393,3136.1835595224993,3506634
2020-02-10,3038.88037109375,3103.01198838548,3024.506043080087,3076.8433399503488,2733168
2020-02-11,3060.994873046875,3105.9607218742944,3059.1520103900134,3084.2149425233292,2824402
2020-02-12,3142.449462890625,3169.2076852090086,3059.1520691991777,3066.5235199683325,2426022
2020-02-13,3109.646484375,3123.652240734636,3080.1606815126083,3116.2807900190382,1960016
2020-02-14,3093.7978515625,3128.443669771563,3082.740675538331,3099.6950121087234,2298872
2020-02-17,3105.2236328125,3137.289443620178,3096.7464644380566,3103.749342660423,1564662
2020-02-18,3075.36865234375,3085.688681378461,3052.517159481177,3067.9972030332424,3235864
2020-02-19,3097.114990234375,3116.6493344545847,3077.9492185466224,3091.95497477998,1569896
2020-02-20,3103.012451171875,3141.7125708265903,3101.5381608993143,3110.015329966538,3054195
2020-02-21,3097.85205078125,3112.226379154893,3046.251897645096,3075.000554392382,3170669
2020-02-24,2923.14892578125,3008.2891857554614,2902.8774353112,3008.2891857554614,4768755
2020-02-25,2886.29150390625,2960.743155520228,2885.554358840765,2957.794575258288,3069788
2020-02-26,2884.080078125,2933.837370207668,2840.2199465854633,2885.922940794728,4302258
2020-02-27,2711.956298828125,2834.3223617815006,2681.364783089781,2819.5794626304914,5979841
2020-02-28,2659.618896484375,2711.956186298785,2556.787179172964,2593.275853057658,9239292
2020-03-02,2742.1796875,2870.811503486223,2665.5756286580076,2794.5169879872315,8521398
2020-03-03,2817.0,2901.034541410441,2762.8198351432684,2801.1513803480307,5197745
2020-03-04,2896.242919921875,2947.4745012236235,2838.745605655164,2868.231407843221,4292458
