Price,Close,High,Low,Open,Volume
Ticker,SHEL.L,SHEL.L,SHEL.L,SHEL.L,SHEL.L
Date,,,,,
2020-01-02,1876.1563720703125,1885.717993288486,1857.0855009458348,1859.5274656039237,4710773
2020-01-03,1911.0777587890625,1915.3015674980459,1888.2130042244773,1891.1230638963336,4984931
2020-01-06,1919.807373046875,1944.4099147972115,1918.5602049829643,1927.2903814303406,7332363
2020-01-07,1904.425537109375,1928.6040323734596,1901.0997557741043,1927.7060064562697,5726726
2020-01-08,1891.953857421875,1913.987158771767,1884.4708494162512,1913.155713437809,7149697
2020-01-09,1879.4827880859375,1897.8328494057012,1879.4827880859377,1889.4601353352325,5807827
2020-01-10,1881.976806640625,1898.289864069583,1879.0742581341215,1896.9428249836917,4224987
2020-01-13,1885.7181396484375,1898.2896913477668,1872.3234651347186,1890.70681197555,4332597
2020-01-14,1876.572509765625,1894.0328654169666,1872.4152822295914,1886.549855852106,5532678
2020-01-15,1881.1451416015625,1889.0438725828728,1870.3363518376639,1880.7294189183356,14203230
2020-01-16,1874.9091796875,1928.1216796874999,1867.426171875,1880.3135742187499,6051089
2020-01-17,1869.5050048828125,1880.4136660999263,1864.9320551265948,1873.6622319339194,5150891
2020-01-20,1864.1005859375,1883.2238301286518,1858.6961908400006,1878.23515773096,7900903
2020-01-21,1833.3372802734375,1857.4491991523173,1828.3486074019452,1857.4491991523173,8752805
2020-01-22,1817.9554443359375,1840.8201938073478,1814.2139398769796,1834.1686303247557,8325457
2020-01-23,1806.31494140625,1821.6966796875,1798.00048828125,1810.887890625,6611475
2020-01-24,1818.370849609375,1836.2469233481047,1812.9664552232475,1818.370849609375,9559521
2020-01-27,1783.0347900390625,1806.73098566327,1779.2932854668193,1799.2479765187836,9821366
2020-01-28,1786.776123046875,1794.2591314728509,1775.9673330982434,1788.439013808203,10836401
2020-01-29,1771.81005859375,1789.1614057090796,1770.648552163002,1787.6075204019533,7226189
2020-01-30,1694.4859619140625,1749.0710908119825,1690.3287343333118,1726.9123370439195,14535464
2020-01-31,1658.2349853515625,1700.306108871122,1649.587931540492,1699.4746633411116,11227503
2020-02-03,1633.2916259765625,1697.247264897131,1630.963537885306,1654.0777643098654,20366499
2020-02-04,1659.066162109375,1690.04907349195,1644.1001449937153,1655.9066290092603,13450739
2020-02-05,1683.26123046875,1697.8115251258025,1645.430464360413,1651.915779148334,23192404
2020-02-06,1670.7894287109375,1705.2944106922782,1667.0479246406717,1698.2271252262206,17248595
2020-02-07,1660.06396484375,1671.2053541705147,1645.4305452255962,1667.4638496462524,22171720
2020-02-10,1641.6058349609375,1666.2165987553701,1637.6148564019265,1665.3851533468096,42511561
2020-02-11,1651.7496337890625,1668.2954197763127,1646.5947122127475,1653.0799263092586,25094962
2020-02-12,1669.54248046875,1725.3183426503165,1645.5719444411861,1664.9695304475456,8947851
2020-02-13,1643.7998046875,1718.9953057134467,1635.8400076416522,1673.9458149111622,23250549
2020-02-14,1629.2349853515625,1671.286890268039,1627.7107116893367,1649.2193439160385,8535993
2020-02-17,1637.19482421875,1722.004741896319,1631.7753110744113,1631.7753110744113,16762161
2020-02-18,1620.9361572265625,1701.9414832657374,1610.4359740859466,1632.1139215887451,10934310
2020-02-19,1632.79150390625,1710.254707735397,1621.4445236894155,1634.8238343552093,7267170
2020-02-20,1631.606201171875,1641.7677508490044,1627.3722221397377,1641.4290118527078,6611660
2020-02-21,1598.5809326171875,1619.4120857570233,1584.354723787312,1615.6861640759973,14241031
2020-02-24,1542.6923828125,1561.3218874300383,1524.2948373589008,1556.5797490143211,22174973
2020-02-25,1507.9742431640625,1608.377964796829,1504.587059422336,1547.9429699689767,17046062
2020-02-26,1508.4820556640625,1516.4757583825365,1486.6346827219381,1494.933322892172,42684959
2020-02-27,1466.3115234375,1500.3010908404397,1444.6335725651127,1482.7393819235126,16827295
2020-02-28,1406.8663330078125,1447.962178227051,1380.7849852802728,1413.4712771478387,40172123
2020-03-02,1453.1016845703125,1484.6084443530835,1410.4231528812338,1464.1100306655421,16513249
2020-03-03,1459.537109375,1509.49805778117,1451.4078909860252,1477.3198198246537,14222631
2020-03-04,1471.222900390625,1495.441237239581,1450.561064208042,1463.4323177677531,14031889
2020-03-05,1431.0845947265625,1469.3597153209193,1427.1893555566492,1469.1903975447253,13252513
2020-03-06,1354.19580078125,1422.955681699907,1354.19580078125,1410.423062523851,19390840
2020-03-09,1115.9075927734375,1185.68348688647,1044.7767426294226,1091.5198313766082,48419857
2020-03-10,1157.061767578125,1264.6048309979572,1128.7787680207591,1164.513508376592,35337726
2020-03-11,1129.4564208984375,1202.4501866564651,1116.5850611045921,1193.135431689408,34904546
2020-03-12,954.3388061523438,1104.7297100328842,954.3388061523438,1098.1247652324168,33047804
2020-03-13,957.3872680664062,1088.9793501855727,927.4106774109015,1029.1955900481764,51491741
2020-03-16,889.6435546875,948.2418800010715,875.0787097830785,944.8546971517998,31519014
2020-03-17,914.53955078125,936.3869258418127,834.0939421477141,930.6286725079572,34751944
2020-03-18,822.0693359375,877.1111135260502,811.5690992371256,871.3528608532334,30796382
2020-03-19,864.2396240234375,900.4825193715071,801.1533477840309,808.943878139718,32261882
2020-03-20,899.4664916992188,954.0001639717077,889.3049417118717,934.3545420102895,37025839
2020-03-23,954.6775512695312,969.5811358277442,866.9494803709496,877.2803988799502,33312190
2020-03-24,1149.271240234375,1149.271240234375,1010.3967263974905,1025.8084722712983,28496183
2020-03-25,1233.7813720703125,1290.5166856795856,1112.1815265605792,1190.7641078668787,30353658
2020-03-26,1197.5384521484375,1218.5390271111423,1148.0856653622395,1181.2800158582652,33743349
2020-03-27,1086.269775390625,1162.142664110621,1063.4062870688556,1153.1666486283943,22096184
2020-03-30,1122.173583984375,1162.1424017523443,1042.913529702575,1061.8817734425766,19895698
2020-03-31,1201.60302734375,1201.60302734375,1056.631653411948,1151.1340272777345,17444061
2020-04-01,1203.4658203125,1240.047450883976,1155.706632955578,1155.875950721797,26572686
2020-04-02,1305.4205322265625,1361.3090613465802,1244.7899667640288,1244.7899667640288,22903681
2020-04-03,1245.636474609375,1304.065377905124,1228.5312428180657,1293.057033805925,16795190
2020-04-06,1252.241455078125,1296.1054079550177,1230.2247680636553,1273.9194031571114,11454370
2020-04-07,1295.5975341796875,1316.4286895457144,1265.2822041239808,1298.1379215016084,13925360
2020-04-08,1264.0966796875,1285.0971513150657,1246.6526053327689,1270.701624217142,9686818
2020-04-09,1278.3228759765625,1315.7513110978582,1259.6933690036517,1293.3958820566402,25090136
2020-04-14,1223.6197509765625,1291.0153628908329,1213.2888850839286,1287.1294266327855,11656270
2020-04-15,1139.787109375,1215.4906720829931,1128.440025353857,1211.934067818598,18512285
2020-04-16,1099.3101806640625,1161.46500822089,1084.0678574502224,1155.5374380821743,12633283
2020-04-17,1160.279541015625,1160.787701180543,1120.8188781846652,1130.6416885979431,10421588
2020-04-20,1137.24658203125,1185.5833988104484,1127.2543518022203,1159.6020083383492,16440498
2020-04-21,1109.3023681640625,1124.7140085727888,1087.9631578491162,1108.2862546704425,13106162
2020-04-22,1172.9810791015625,1183.3306525148805,1095.0758935100898,1120.1411228735233,13568518
2020-04-23,1205.66796875,1217.6509776122584,1172.8122485268486,1181.2802069999666,8977709
2020-04-24,1167.9007568359375,1209.393752131026,1161.9731860794964,1188.9013345776386,51929188
2020-04-27,1184.32861328125,1190.594923023521,1154.3444746668997,1180.6026909992,7008902
2020-04-28,1213.2891845703125,1220.4021873046818,1168.2395814970246,1192.7966621457285,8996554
2020-04-29,1258.169189453125,1267.9919996570593,1210.7486265954606,1219.3859020542284,14939624
2020-04-30,1122.00439453125,1235.4750276385614,1091.3504290243366,1232.0878445607311,22880059
2020-05-01,1042.9134521484375,1094.9067232535326,1021.235505215592,1094.9067232535326,7655272
2020-05-04,1071.53515625,1232.2568966094125,1036.9858549598437,1083.898351144016,17844798
2020-05-05,1130.9803466796875,1165.1909145539785,1102.5728930482217,1114.7219101496376,31786849
2020-05-06,1088.8099365234375,1128.9479694229947,1085.7613893530183,1126.2382645699713,17836986
2020-05-07,1118.278564453125,1133.5208895570802,1090.5037229515417,1094.9070199674534,9687516
2020-05-11,1112.5201416015625,1137.4158504635886,1101.1730594699288,1130.4721676352942,19620371
2020-05-12,1110.6572265625,1134.7664058050464,1097.6165520252223,1109.3023741075422,11078476
2020-05-13,1071.53515625,1172.5917126392344,1063.0799147197222,1105.7457186317033,8940535
2020-05-14,1029.8619384765625,1079.4732278716128,1003.0033919555676,1058.431219114628,14564371
2020-05-15,1050.390625,1067.6689957951103,1027.6378847877056,1052.443526583308,13583883
2020-05-18,1137.6380615234375,1137.6380615234375,1082.049441554022,1082.5524081877413,11872835
2020-05-19,1119.846435546875,1158.8512543106033,1108.042433586203,1151.8371822559357,28019923
2020-05-20,1149.7843017578125,1152.0083395325403,1096.9226827896164,1108.2134856409036,18058058
2020-05-21,1115.56982421875,1152.008549286469,1110.437621185543,1143.6259092329226,39600967
2020-05-22,1105.6475830078125,1126.0053634188448,1076.5650992291592,1097.778246810152,10985207
2020-05-26,1116.7672119140625,1156.1140966480273,1113.8589430290021,1143.4547268173583,20874306
2020-05-27,1134.3875732421875,1152.521414686316,1114.0299030927654,1131.4794092314899,15280711
2020-05-28,1127.0316162109375,1151.9681972403182,1124.4655150335834,1139.691090451854,8322464
2020-05-29,1077.0777587890625,1125.1494322950393,1074.1695954007937,1116.9379324622223,23837299
2020-06-01,1104.10791015625,1113.6879800465924,1085.9740647292672,1105.6475083091993,5847225
2020-06-02,1141.5728759765625,1145.5075436336297,1110.437493602728,1111.9771961017623,23581797
2020-06-03,1191.697265625,1199.0535053753965,1155.6008199003704,1157.8247532229689,9987015
2020-06-04,1188.275634765625,1206.9226746228535,1172.8790308370556,1194.9475382339663,5806914
2020-06-05,1263.5479736328125,1268.509143539388,1198.3690560341759,1204.0144568284431,14895419
2020-06-08,1286.1298828125,1329.7536026106309,1265.9432412006634,1265.9432412006634,10705340
2020-06-09,1229.8468017578125,1302.553001924252,1223.859232332341,1298.1050305592328,9873388
2020-06-10,1208.633544921875,1250.8886946931386,1198.2048964824605,1234.6367220437999,8855570
2020-06-11,1136.440673828125,1176.814062376798,1111.9771963905187,1162.6148854140242,12277679
2020-06-12,1155.087646484375,1178.0114200070147,1109.9242259922864,1121.043997269551,7237041
2020-06-15,1141.7440185546875,1171.5107302481404,1111.4640030820103,1129.084544022405,7755374
2020-06-16,1177.15576171875,1200.0796339841918,1128.379388247685,1174.4186296937244,9417257
2020-06-17,1164.1544189453125,1194.7765975211535,1156.2850847713084,1181.4327895692786,12590478
2020-06-18,1164.8388671875,1172.8792337649495,1145.1654254304908,1155.7718931066806,6859392
2020-06-19,1176.81396484375,1192.3816025370181,1168.2602948112033,1172.8791930968446,15089292
2020-06-22,1161.7593994140625,1170.997404635149,1148.4156953063164,1163.4701333872329,9794867
2020-06-23,1188.7889404296875,1209.4887773136486,1160.3906971535794,1166.891464606938,19355771
2020-06-24,1133.1903076171875,1200.764304448593,1133.1903076171875,1185.196561516961,9106819
2020-06-25,1137.2958984375,1149.6132036452532,1109.753123866131,1123.267859295751,7970945
2020-06-26,1128.9134521484375,1159.364497646432,1126.6894143302493,1150.1264919221892,6712002
2020-06-29,1146.0206298828125,1151.8370622325212,1115.227421066417,1126.6892541494838,10014804
2020-06-30,1100.857177734375,1154.2320920832647,1092.132477299178,1140.0330227173015,13394643
2020-07-01,1115.911865234375,1130.453105510318,1080.6707835080604,1115.398665872327,9710747
2020-07-02,1122.4124755859375,1131.9926481223567,1105.8184402056377,1118.8199761440999,7484167
2020-07-03,1111.1217041015625,1123.096841790109,1098.8043987389317,1120.0175415531799,4575117
2020-07-06,1129.93994140625,1154.7455873568792,1126.8606407229508,1132.6770743658649,10246679
2020-07-07,1108.8975830078125,1130.1106178139005,1106.3314825092205,1124.6363536154886,7745140
2020-07-08,1093.84326171875,1122.155050637276,1089.3952910750022,1098.2911279475904,7321280
2020-07-09,1053.1279296875,1104.2789239330993,1051.5883315594785,1103.7657245570922,8585456
2020-07-10,1066.1292724609375,1070.406106750002,1031.2302628962127,1036.5336000635923,6495291
2020-07-13,1094.185302734375,1097.7779063830847,1072.4590668867584,1086.315968977039,7354115
2020-07-14,1120.1883544921875,1122.2412557209973,1086.6580172762372,1087.3422480759111,9137063
2020-07-15,1132.8480224609375,1151.2503153969212,1119.5043187708181,1130.2819215814948,7823365
2020-07-16,1131.3082275390625,1143.967699273757,1113.6876904925907,1130.7950282881757,5171681
2020-07-17,1114.714111328125,1127.202551701036,1109.0687106254547,1118.4777466015405,8632684
2020-07-20,1088.711181640625,1109.0688540081858,1083.236811845638,1104.6209872831507,9016538
2020-07-21,1120.5306396484375,1120.5306396484375,1086.3159636286377,1092.4745635462398,12321871
2020-07-22,1080.1575927734375,1126.0052474796191,1079.9864567081038,1114.543307699342,12407968
2020-07-23,1070.5772705078125,1102.396984195221,1068.5243689126712,1082.0392087003481,16724452
2020-07-24,1062.87890625,1078.2755106990533,1059.4574385946548,1059.4574385946548,5411239
2020-07-27,1052.4437255859375,1073.9989352491864,1052.4437255859375,1062.0237955662856,6553025
2020-07-28,1050.73291015625,1072.8013175034293,1050.73291015625,1057.746878234013,11570837
2020-07-29,1049.364013671875,1059.1151114895936,1039.2706438422654,1051.930114027041,17037026
2020-07-30,991.1995239257812,1066.8138986462702,975.2896109425255,1055.3520620358827,10011325
2020-07-31,959.3795166015625,1015.1785297794454,959.3795166015625,997.3578287330405,9418257
2020-08-03,978.0267333984375,980.5928346207099,946.7203193696984,969.8152303701507,10152647
2020-08-04,1011.8991088867188,1013.0966435080286,986.7512994988595,987.093467164221,16756823
2020-08-05,1025.242919921875,1035.2661259974632,1014.6363476739813,1023.5321858307606,54425312
2020-08-06,1005.7405395507812,1018.7420759157299,988.9752631658282,1011.0437730750568,10598123
2020-08-07,987.6067504882812,1003.8587240341449,986.238184125298,1000.7794236137022,5301459
2020-08-10,1004.8851318359375,1016.8602691026889,924.4121425778249,1001.4636640454371,5264504
